rodada,qtd_torres,qtd_conexoes,conexoes,resultado_z3
11,10,13,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [1, 9], [4, 10], [6, 8], [6, 10]]",SAT
12,3,2,"[[1, 2], [2, 3]]",SAT
13,16,40,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [1, 3], [1, 5], [1, 7], [1, 10], [1, 15], [2, 6], [2, 10], [3, 7], [3, 10], [3, 13], [3, 16], [4, 6], [4, 15], [5, 7], [5, 8], [5, 15], [6, 10], [6, 13], [6, 16], [7, 9], [7, 13], [9, 11], [11, 13], [11, 15], [13, 15]]",UNSAT
14,11,15,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [2, 11], [3, 11], [5, 8], [6, 8], [6, 9]]",SAT
15,18,34,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [1, 16], [2, 7], [2, 13], [2, 15], [3, 6], [4, 7], [4, 14], [4, 15], [5, 18], [6, 12], [7, 9], [8, 11], [8, 16], [9, 17], [10, 18], [11, 13], [12, 17]]",SAT
16,13,23,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [2, 8], [2, 9], [3, 7], [3, 13], [5, 7], [6, 11], [7, 11], [7, 13], [8, 12], [9, 13], [11, 13]]",SAT
17,7,6,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7]]",SAT
18,18,39,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [2, 5], [2, 15], [3, 17], [4, 7], [4, 9], [4, 11], [4, 17], [5, 15], [5, 18], [6, 8], [6, 11], [7, 9], [7, 13], [7, 15], [8, 10], [8, 11], [9, 15], [10, 14], [10, 17], [11, 14], [14, 18], [16, 18]]",UNSAT
19,13,23,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [1, 10], [2, 6], [2, 7], [2, 9], [3, 8], [5, 9], [6, 9], [7, 10], [7, 12], [8, 12], [9, 11]]",SAT
20,3,3,"[[1, 2], [2, 3], [1, 3]]",SAT
