rodada,qtd_torres,qtd_conexoes,conexoes,resultado_z3
11,6,5,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6]]",SAT
12,11,22,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [1, 3], [1, 5], [1, 11], [2, 4], [2, 10], [3, 6], [4, 6], [4, 8], [7, 10], [8, 10], [8, 11], [9, 11]]",UNSAT
13,14,24,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [2, 4], [2, 7], [4, 8], [5, 14], [7, 9], [7, 12], [7, 14], [9, 11], [10, 13], [11, 13], [11, 14]]",SAT
14,16,28,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [1, 9], [2, 9], [2, 10], [3, 8], [3, 13], [4, 7], [5, 8], [5, 15], [8, 14], [9, 13], [9, 15], [10, 14], [11, 14]]",SAT
15,7,6,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7]]",SAT
16,9,16,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [1, 6], [1, 7], [1, 9], [2, 4], [3, 6], [5, 8], [5, 9], [6, 8]]",SAT
17,11,14,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [1, 11], [2, 5], [3, 11], [5, 8]]",SAT
18,13,26,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [1, 5], [1, 6], [1, 7], [2, 4], [2, 7], [2, 13], [3, 7], [4, 11], [4, 13], [6, 10], [6, 11], [7, 13], [8, 11], [9, 11]]",UNSAT
19,11,14,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [2, 5], [2, 6], [3, 10], [3, 11]]",SAT
20,20,43,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [1, 8], [2, 4], [2, 11], [3, 5], [3, 15], [3, 16], [3, 17], [4, 8], [4, 9], [4, 11], [4, 16], [5, 17], [6, 9], [6, 14], [6, 17], [7, 18], [8, 11], [8, 13], [8, 16], [10, 18], [11, 13], [11, 16], [12, 14], [14, 16]]",UNSAT
