rodada,qtd_torres,qtd_conexoes,conexoes,resultado_z3
11,9,14,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [1, 9], [3, 5], [3, 8], [4, 9], [6, 8], [6, 9]]",SAT
12,12,18,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [1, 3], [1, 7], [3, 7], [4, 10], [4, 11], [5, 8], [6, 10]]",SAT
13,5,6,"[[1, 2], [2, 3], [3, 4], [4, 5], [1, 4], [2, 4]]",SAT
14,8,9,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [1, 5], [1, 7]]",SAT
15,14,18,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [1, 6], [2, 11], [6, 8], [7, 14], [8, 12]]",SAT
16,17,38,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [1, 5], [1, 13], [1, 17], [2, 6], [2, 8], [2, 13], [3, 5], [3, 6], [3, 13], [3, 15], [4, 10], [4, 15], [6, 8], [6, 10], [6, 13], [6, 14], [8, 11], [8, 12], [8, 16], [9, 14], [10, 14], [11, 14]]",UNSAT
17,18,40,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [1, 3], [1, 6], [1, 9], [1, 13], [2, 4], [2, 13], [3, 16], [4, 13], [5, 9], [5, 18], [6, 8], [6, 13], [7, 16], [8, 10], [8, 17], [9, 12], [9, 15], [9, 16], [10, 13], [11, 13], [11, 17], [13, 15], [15, 17]]",UNSAT
18,19,32,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [1, 15], [4, 17], [5, 17], [5, 18], [6, 18], [7, 9], [7, 11], [8, 16], [9, 16], [10, 14], [10, 15], [11, 16], [14, 17], [16, 19]]",SAT
19,15,28,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [1, 4], [1, 5], [1, 11], [1, 12], [1, 13], [3, 9], [3, 10], [4, 7], [6, 9], [6, 10], [7, 9], [9, 11], [10, 12], [10, 15]]",UNSAT
20,12,21,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [1, 7], [1, 8], [2, 5], [2, 8], [2, 10], [4, 6], [4, 10], [4, 12], [6, 12], [9, 11]]",SAT
